theta,phi,areaA,areaB,areaI
0.0056417165,3.8832223,0.12506866,0.12508011,0.124305725
0.007978602,1.4832592,0.12508011,0.12509537,0.12382126
0.009771765,5.3664813,0.125103,0.125103,0.12362671
0.011283478,2.9665184,0.12506866,0.12507248,0.12411499
0.012615329,0.56655455,0.12507248,0.12506485,0.123550415
0.013819418,4.449777,0.12512207,0.12511826,0.12287521
0.014926697,2.0498142,0.12511826,0.12511826,0.12274933
0.015957331,5.933037,0.12506104,0.12505722,0.1235466
0.01692533,3.533074,0.12508011,0.12509155,0.12338638
0.017840886,1.1331091,0.12511444,0.12513351,0.122276306
0.018711705,5.0163336,0.12511826,0.12513351,0.12210846
0.019543765,2.6163688,0.12510681,0.12510681,0.12284088
0.020341821,0.21640778,0.12509155,0.12508774,0.12329483
0.021109734,4.0996284,0.12513733,0.12514496,0.121917725
0.02185068,1.6996675,0.12514877,0.12514496,0.12163925
0.022567315,5.582888,0.12510681,0.1251297,0.122112274
0.023261886,3.1829233,0.1250763,0.12509155,0.12329483
0.023936316,0.7829623,0.12496948,0.12506485,0.121730804
0.02459226,4.666187,0.12514496,0.1251564,0.12125397
0.025231158,2.2662182,0.12516403,0.12516403,0.12145233
0.025854278,6.1494427,0.1250763,0.1250763,0.12292862
0.026462734,3.7494817,0.12513351,0.12511826,0.12182617
0.027057512,1.3495207,0.12516785,0.12516022,0.120788574
0.027641652,5.2327375,0.12516022,0.12516785,0.120838165
0.028211594,2.8327765,0.12508392,0.12509918,0.12246704
0.028770247,0.43281555,0.12508774,0.12508011,0.12207031
0.029318264,4.3160324,0.12517166,0.12516403,0.120456696
0.029856224,1.9160714,0.12517166,0.12516785,0.12035751
0.030384663,5.799296,0.12511444,0.12512207,0.12174988
0.030904071,3.399335,0.12511444,0.12508392,0.12229538
0.031414896,0.9993663,0.12518692,0.12517929,0.12033844
0.03191755,4.882591,0.12517929,0.12517929,0.12003708
0.03241241,2.4826221,0.12512207,0.1251297,0.1209259
0.03289983,0.08266115,0.1250763,0.12507248,0.12243652
0.033380136,3.9658856,0.12514877,0.12517929,0.12036896
0.03385363,1.5659246,0.12524033,0.12523651,0.12001419
0.034320597,5.449149,0.1251564,0.12515259,0.120212555
0.034781296,3.0491881,0.12507248,0.1250763,0.12228775
0.035235975,0.64922714,0.12513733,0.12514114,0.1206131
