theta,phi,areaA,areaB,areaI
0.017844228,3.8832223,0.12512207,0.12514114,0.122673035
0.025233522,1.4832592,0.12515259,0.12515259,0.12112427
0.030906001,5.3664813,0.1251564,0.12516022,0.12053299
0.035688207,2.9665184,0.12508392,0.12508011,0.122024536
0.039900035,0.56655455,0.12512207,0.12511444,0.12031937
0.043709423,4.449777,0.12519455,0.12518692,0.11813736
0.047212623,2.0498142,0.12518692,0.12518692,0.11774063
0.05047224,5.933037,0.12503433,0.12504196,0.12026596
0.053535026,3.533074,0.12506866,0.12505722,0.11973572
0.05643197,1.1331091,0.12517548,0.12517548,0.1162262
0.059186433,5.0163336,0.12519073,0.12517929,0.11565781
0.061819386,2.6163688,0.1250763,0.1250763,0.11796951
0.064344816,0.21640778,0.124988556,0.124996185,0.119335175
0.066774935,4.0996284,0.12514114,0.12514496,0.1150589
0.069118924,1.6996675,0.12516022,0.12516785,0.114112854
0.07138695,5.582888,0.12508011,0.12508774,0.11564636
0.07358521,3.1829233,0.12491989,0.12490845,0.119255066
0.07571901,0.7829623,0.12513351,0.12513351,0.114593506
0.07779517,4.666187,0.12512207,0.12511444,0.11286545
0.07981746,2.2662182,0.12511444,0.12511444,0.11349106
0.08178913,6.1494427,0.12487793,0.124881744,0.11811066
0.08371519,3.7494817,0.12500381,0.12499237,0.11468887
0.08559803,1.3495207,0.12509918,0.12509155,0.111335754
0.087439746,5.2327375,0.12509537,0.1250763,0.1115036
0.089244224,2.8327765,0.124858856,0.12485123,0.11662674
0.09101303,0.43281555,0.12491989,0.1248703,0.1154747
0.09274755,4.3160324,0.12508392,0.1250763,0.110378265
0.09445095,1.9160714,0.12504959,0.12504578,0.10995102
0.096124254,5.799296,0.12486267,0.1248703,0.11433411
0.097768396,3.399335,0.12478256,0.12477493,0.11602783
0.09938604,0.9993663,0.12500763,0.12500381,0.109867096
0.100977845,4.882591,0.12502289,0.12501526,0.10886383
0.10254445,2.4826221,0.12487793,0.12488556,0.11180878
0.104088135,0.08266115,0.12468338,0.12469101,0.11643982
0.105609335,3.9658856,0.124923706,0.12491226,0.110004425
0.10710901,1.5659246,0.12493515,0.12493515,0.10824585
0.10858751,5.449149,0.124897,0.124889374,0.10948181
0.11004677,3.0491881,0.124614716,0.1246109,0.11582947
0.111487,0.64922714,0.124801636,0.12480545,0.11071777
0.11290841,4.5324364,0.12491989,0.124923706,0.106853485
0.11431274,2.1324754,0.12489319,0.12490082,0.1075058
0.1157001,6.0157,0.1246109,0.12460327,0.11422348
0.117070585,3.6157389,0.12464523,0.124679565,0.11200714
0.11842579,1.2157779,0.124938965,0.12472534,0.10611725
0.11976573,5.0990024,0.12487793,0.12484741,0.105918884
0.12109041,2.6990414,0.124607086,0.12460327,0.111961365
0.12240133,0.2990651,0.12453842,0.12453842,0.11336136
0.12369841,4.1822896,0.12481308,0.12480545,0.10584259
0.12498163,1.7823286,0.12482071,0.124824524,0.10482788
0.12625234,5.665553,0.12464523,0.12464523,0.10913086
0.12751046,3.265592,0.12441635,0.12442398,0.1140213
0.1287559,0.8656311,0.12470627,0.12472534,0.10625076
0.12998992,4.7488556,0.12472534,0.124752045,0.104320526
0.1312124,2.3488793,0.12466431,0.12469101,0.10653305
0.1324232,6.232104,0.12434006,0.12434006,0.11412811
0.13362356,3.8321428,0.124614716,0.1246109,0.10728836
0.13481328,1.4321818,0.12471008,0.12470627,0.103248596
0.13599221,5.3154063,0.12466812,0.12467575,0.10435867
0.13716152,2.9154453,0.124355316,0.12431717,0.112350464
0.13832101,0.51548433,0.1244545,0.1244545,0.108932495
0.13947092,4.3986936,0.12466431,0.12466049,0.10247803
0.14061105,1.9987326,0.124637604,0.12466431,0.10261536
0.1417425,5.881957,0.12432861,0.1243248,0.110328674
0.14286505,3.481996,0.12427521,0.12427521,0.1109848
0.14397848,1.0820351,0.12457657,0.12458038,0.10235977
0.14508384,4.9652443,0.12459946,0.12460327,0.10147095
0.14618091,2.5652986,0.12435913,0.12435913,0.10708237
0.14726946,0.1653223,0.12416458,0.12416458,0.111816406
0.14835048,4.048562,0.124492645,0.12448883,0.10292816
0.14942373,1.6485858,0.12453842,0.12454224,0.100933075
0.15048899,5.5318255,0.12438965,0.12440491,0.104221344
0.15154721,3.1318493,0.12407684,0.12408447,0.11276245
0.15259814,0.73187304,0.12434387,0.12434387,0.10415268
0.15364157,4.615113,0.12446976,0.12447739,0.10015869
0.15467839,2.2151365,0.12440491,0.12441635,0.10177231
0.15570836,6.0983763,0.124046326,0.12404251,0.11084366
0.15673123,3.6984,0.12420273,0.12420273,0.106033325
0.15774791,1.2984543,0.124443054,0.12443161,0.09936905
0.15875813,5.1816635,0.12437439,0.12433624,0.09976959
0.15976165,2.7816873,0.12401199,0.12401581,0.10905075
0.16075931,0.38174152,0.12403107,0.12403107,0.10853577
0.1617509,4.2649508,0.124385834,0.124362946,0.09925842
0.1627361,1.865005,0.124362946,0.12437439,0.09854889
0.16371581,5.7482142,0.1240654,0.1240654,0.10550308
0.16468973,3.3482685,0.123874664,0.12390518,0.10975647
0.165658,0.94829226,0.12425232,0.124256134,0.099868774
0.16662031,4.8315015,0.12429428,0.124298096,0.09790802
0.16757752,2.4315557,0.124126434,0.12412262,0.10233688
0.16852933,0.031579494,0.12372208,0.12372589,0.1109848
0.1694755,3.9148192,0.12413788,0.124126434,0.101257324
0.17041682,1.514843,0.12422562,0.12422943,0.09744644
0.17135301,5.3980827,0.12415695,0.12415314,0.099624634
0.17228381,2.9981065,0.123687744,0.12371063,0.10953903
0.17321002,0.5981302,0.123989105,0.123989105,0.1032753
0.17413135,4.48137,0.12423706,0.12421036,0.09653854
0.17504753,2.0813937,0.12414932,0.12416077,0.097473145
0.17595933,5.9646335,0.12370682,0.123729706,0.10760498
0.17686647,3.5646572,0.12382889,0.12379074,0.10593414
0.1777687,1.1647115,0.12413788,0.124126434,0.096401215
0.17866677,5.0479207,0.124103546,0.12414169,0.09593201
0.17956038,2.6479445,0.123786926,0.12379837,0.10427475
0.18044928,0.24799871,0.123600006,0.12358856,0.107746124
0.18133421,4.131208,0.123996735,0.12401199,0.09701538
0.18221489,1.7312622,0.12405777,0.12405014,0.09517288
0.18309104,5.6144714,0.12385559,0.12384796,0.10079193
0.1839634,3.2145257,0.12347031,0.12348175,0.10913086
0.18483168,0.81454945,0.12377548,0.12387848,0.09842682
0.18569596,4.6977587,0.1239624,0.12397003,0.09505463
0.18655595,2.297813,0.12389374,0.12388992,0.097831726
0.18741237,6.181022,0.1234169,0.123420715,0.10847473
0.18826492,3.7810764,0.123729706,0.12372589,0.100566864
0.18911336,1.3811002,0.123916626,0.12391281,0.09394455
0.1899584,5.26434,0.12388611,0.12388992,0.095401764
0.19079971,2.8643637,0.12337875,0.12344742,0.10644913
0.19163707,0.46438742,0.123535156,0.12353134,0.10335922
0.19247115,4.347627,0.123859406,0.12391281,0.093803406
0.19330166,1.9476509,0.12387848,0.12386322,0.09365463
0.19412835,5.8308907,0.12347412,0.123485565,0.10331726
0.1949519,3.4309144,0.123355865,0.12335205,0.10588074
0.19577202,1.0309687,0.12378311,0.123786926,0.09434891
0.19658847,4.914178,0.12384033,0.12384033,0.09270859
0.19740188,2.5142016,0.123542786,0.123535156,0.09953308
0.198212,0.114255905,0.12320328,0.12321091,0.107292175
0.19901857,3.9974651,0.1236496,0.123672485,0.095752716
0.19982222,1.5975194,0.12371063,0.12372589,0.092536926
0.20062268,5.4807286,0.123558044,0.12363434,0.09625244
0.20141973,3.080783,0.12309265,0.12308884,0.10756302
0.20221396,0.68080664,0.12347031,0.12347412,0.09793472
0.20300512,4.564016,0.123680115,0.12368393,0.09161377
